Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
27/2/21,Koen Casteels,Bundesliga,Matchweek 23,Home,W 2–0,Wolfsburg,Hertha BSC,Y*,GK,90,2,0,2,100,1,0.7,0,0,0,0,2,13,15.4,29,4,34.5,36.8,3,100,74.3,11,0,0,0,11.6
6/3/21,Koen Casteels,Bundesliga,Matchweek 24,Away,L 1–2,Wolfsburg,Hoffenheim,Y*,GK,90,4,2,2,50,0,1.7,0,0,0,0,2,9,22.2,27,2,29.6,34.1,5,20,26.8,10,0,0,2,25.2
13/3/21,Koen Casteels,Bundesliga,Matchweek 25,Home,W 5–0,Wolfsburg,Schalke 04,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,7,16,43.8,40,5,32.5,36.5,5,60,44,5,0,0,2,19.8
20/3/21,Koen Casteels,Bundesliga,Matchweek 26,Away,W 2–1,Wolfsburg,Werder Bremen,Y*,GK,90,4,1,3,75,0,1.6,0,0,0,0,8,23,34.8,36,4,50,39,6,83.3,57.8,6,0,0,0,11.7
3/4/21,Koen Casteels,Bundesliga,Matchweek 27,Home,W 1–0,Wolfsburg,Köln,Y*,GK,90,1,0,1,100,1,0,0,0,0,0,8,15,53.3,30,3,23.3,30.6,10,80,57.4,11,0,0,1,19.5
10/4/21,Koen Casteels,Bundesliga,Matchweek 28,Away,L 3–4,Wolfsburg,Eint Frankfurt,Y*,GK,90,5,4,1,20,0,2.9,0,0,0,0,5,18,27.8,37,10,40.5,40.4,4,75,64.3,10,2,20,2,15.2
17/4/21,Koen Casteels,Bundesliga,Matchweek 29,Home,L 2–3,Wolfsburg,Bayern Munich,Y*,GK,90,7,3,4,57.1,0,1.5,0,0,0,0,7,15,46.7,38,6,28.9,31.1,8,50,45.8,6,0,0,2,18.2
21/4/21,Koen Casteels,Bundesliga,Matchweek 30,Away,W 3–1,Wolfsburg,Stuttgart,Y*,GK,90,3,1,2,66.7,0,1.7,1,0,1,0,10,27,37,32,2,68.8,51,5,100,70.4,5,1,20,3,15.9
24/4/21,Koen Casteels,Bundesliga,Matchweek 31,Home,L 0–2,Wolfsburg,Dortmund,Y*,GK,90,3,2,1,33.3,0,1.1,0,0,0,0,2,2,100,16,5,6.3,24.2,5,20,32.8,5,0,0,0,10.6
8/5/21,Koen Casteels,Bundesliga,Matchweek 32,Home,W 3–0,Wolfsburg,Union Berlin,Y*,GK,90,1,0,1,100,1,0.1,0,0,0,0,5,16,31.3,37,3,24.3,34.1,10,70,61.4,12,0,0,1,15.8
16/5/21,Koen Casteels,Bundesliga,Matchweek 33,Away,D 2–2,Wolfsburg,RB Leipzig,Y*,GK,90,3,2,2,66.7,0,2,1,1,0,0,6,19,31.6,34,2,35.3,35.5,9,77.8,59.8,5,0,0,1,17.5
3/1/21,Finn Dahmen,Bundesliga,Matchweek 14,Away,L 2–5,Mainz 05,Bayern Munich,Y,GK,90,11,5,7,63.6,0,5.5,1,1,0,0,0,5,0,18,8,27.8,32.3,5,0,16,16,1,6.3,0,8.4
16/5/21,Finn Dahmen,Bundesliga,Matchweek 33,Home,L 1–3,Mainz 05,Dortmund,Y,GK,90,4,3,1,25,0,2.1,0,0,0,0,5,8,62.5,15,3,33.3,30.3,13,23.1,21.2,6,0,0,1,11.9
